LotFrontage,OverallCond,YearRemodAdd,MasVnrArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SalePrice,MSZoningBin,LotShapeBin,NeighborhoodBin,HouseStyleBin,RoofStyleBin,MasVnrTypeBin,ExterQualBin,FoundationBin,BsmtQualBin,BsmtCondBin,BsmtExposureBin,BsmtFinType1Bin,BsmtFinType2Bin,HeatingQCBin,CentralAirBin,ElectricalBin,KitchenQualBin,GarageTypeBin,GarageFinishBin,GarageQualBin,PavedDriveBin,FenceBin,SaleTypeBin,MSSubClassBin,HowOld,BsmtType1Info,AllBaths,Porches,AverageRoomSize,NonObligatoryRooms,ExteriorMatAdd,FireplaceInfoAdd,OverallQualSimple,GarageCarsSimple,1stFlrSFNorm,LotAreaNorm
65.0,5,2003,196.0,0,150,856,854,7.444833273892193,1,0,2,1,3,1,0,61,0,0,0,0,12.247694320220994,4,1,5,3,1,1,3,2,4,3,2,4,3,5,2,2,3,3,3,3,3,2,1,4,6,2824,3.5,61,190.0,4.0,6,1,7,2,6.752270376141742,9.042040056544483
80.0,8,1976,0.0,0,284,1262,0,7.141245122350491,0,1,2,0,3,1,298,0,0,0,0,0,12.109010932687042,4,1,6,1,1,1,2,1,4,3,5,3,3,5,2,2,2,3,3,3,3,2,1,3,32,2934,2.5,0,180.28571428571428,2.0,2,4,6,2,7.140453043101158,9.169622538697624
68.0,5,2002,162.0,0,434,920,866,7.488293515159428,1,0,2,1,3,1,0,42,0,0,0,0,12.31716669303576,4,2,5,3,1,1,3,2,4,3,3,4,3,5,2,2,3,3,3,3,3,2,1,4,8,1944,3.5,42,255.14285714285714,2.0,6,4,7,2,6.824373670043086,9.328212292571072
60.0,5,1970,0.0,0,540,756,756,7.4489161025442,1,0,1,0,3,1,0,35,272,0,0,0,11.84939770159144,4,2,5,3,1,1,2,1,3,4,2,3,3,4,2,2,3,2,2,3,3,2,1,3,92,648,2.0,307,214.625,3.0,2,5,7,3,6.8679744089702925,9.164401140034737
84.0,5,2000,350.0,0,490,1145,1053,7.695757990554761,1,0,2,1,4,1,192,84,0,0,0,0,12.429216196844383,4,2,7,3,1,1,3,2,4,3,4,4,3,5,2,2,3,3,3,3,3,2,1,4,9,2620,3.5,84,219.8,4.0,6,4,8,3,7.0431599159883405,9.565283817736766
85.0,5,1995,0.0,0,64,796,566,7.217443431696533,1,0,1,1,1,1,40,30,0,320,0,700,11.870599909242044,4,2,3,1,1,1,2,1,4,3,2,4,3,5,2,2,2,3,2,3,3,1,1,2,17,2928,2.5,350,227.0,3.0,6,1,5,2,6.679599185844383,9.55506418479516
75.0,5,2005,186.0,0,317,1686,0,7.43543801981455,1,0,2,0,3,1,255,57,0,0,0,0,12.634603026569334,4,1,6,1,1,3,3,2,6,3,4,4,3,5,2,2,3,3,3,3,3,2,1,3,4,5476,3.0,57,211.75,3.0,6,5,8,2,7.434847875211999,9.218804450388312
0.0,6,1973,240.0,32,216,1107,983,7.645397699428633,1,0,2,1,3,1,235,204,228,0,0,350,12.206072645530174,4,2,4,3,1,3,2,1,4,3,3,3,2,5,2,2,2,3,3,3,3,2,1,4,37,2577,3.5,432,261.25,3.0,3,5,7,2,7.009408932708637,9.247925132303454
51.0,5,1950,0.0,0,952,952,752,7.4815557019095165,0,0,2,0,2,2,90,0,205,0,0,0,11.77452020265869,3,1,2,1,1,1,2,1,3,3,2,3,3,4,2,1,2,2,2,2,3,2,1,2,78,0,2.0,205,197.11111111111111,4.0,3,5,7,2,6.92951677076365,8.71948076085107
50.0,6,1950,0.0,0,140,991,0,6.982862751468942,1,0,1,0,2,2,0,4,0,0,0,0,11.678439903447801,4,1,2,1,1,1,2,1,3,3,2,4,3,5,2,2,2,3,3,4,3,2,1,2,70,3404,2.0,4,179.5,1.0,2,5,5,1,6.981934677156389,8.912069097970134
